run_id,dag1_executed,dag1_deferred,dag1_avg_exec_ns,dag1_max_exec_ns,dag1_deadline_miss,dag1_miss_rate,dag1_avg_lateness_ns,dag1_max_lateness_ns,dag2_executed,dag2_deferred,dag2_avg_exec_ns,dag2_max_exec_ns,dag2_deadline_miss,dag2_miss_rate,dag2_avg_lateness_ns,dag2_max_lateness_ns,dag1_hist_0_1ms,dag1_hist_1_5ms,dag1_hist_5_10ms,dag1_hist_gt_10ms,dag2_hist_0_1ms,dag2_hist_1_5ms,dag2_hist_5_10ms,dag2_hist_gt_10ms,max_dag1_active_observed,max_dag2_active_observed,log_path
1,45573,0,4850,878959,31983,0.701797,19053997,74338167,46256,0,4691,1093083,31107,0.672497,18908171,74380625,667,4088,4382,22846,853,3662,4478,22114,2,2,/Users/mehedihasan/rp_ws/phase15/logs/r001_a1_2_a2_2_t4_d0p8.log
2,30029,24349,6272,224125,28614,0.952879,142490454,288051125,21530,19791,5744,101875,18534,0.860845,107154680,231961542,29,145,186,28254,70,303,364,17797,2,2,/Users/mehedihasan/rp_ws/phase15/logs/r002_a1_2_a2_2_t6_d0p9.log
3,28540,26190,6771,1126375,26599,0.93199,119600122,301965917,22468,19944,6885,11348667,18691,0.831894,88045275,232616250,46,217,222,26114,68,238,526,17859,2,2,/Users/mehedihasan/rp_ws/phase15/logs/r003_a1_2_a2_2_t8_d1p1.log
4,30842,30330,6719,540791,29691,0.962681,122705654,260092583,17898,18081,6349,130875,13650,0.762655,75046302,197011250,19,136,151,29385,73,316,444,12817,2,2,/Users/mehedihasan/rp_ws/phase15/logs/r004_a1_2_a2_2_t10_d1p2.log
5,61876,10853,6943,1153375,61091,0.987313,95122302,249389500,8648,0,6276,184666,319,0.036887,16971864,25918875,14,68,88,60921,7,28,16,268,2,3,/Users/mehedihasan/rp_ws/phase15/logs/r005_a1_2_a2_3_t4_d0p8.log
6,37633,28854,7058,366542,36824,0.978503,162553652,338308708,16094,7917,5966,218917,6361,0.39524,60518496,212645583,19,83,90,36632,68,350,383,5560,2,3,/Users/mehedihasan/rp_ws/phase15/logs/r006_a1_2_a2_3_t6_d0p9.log
7,44382,31290,7485,282958,43176,0.972827,127513529,271141626,9452,2407,7340,161708,1484,0.157004,30661574,121281083,18,99,164,42895,24,170,179,1111,2,3,/Users/mehedihasan/rp_ws/phase15/logs/r007_a1_2_a2_3_t8_d1p1.log
8,43095,28677,7121,1631625,39466,0.915791,121288847,290992709,13564,4866,6490,137500,1931,0.142362,54381194,153027375,93,384,509,38480,113,147,133,1538,2,3,/Users/mehedihasan/rp_ws/phase15/logs/r008_a1_2_a2_3_t10_d1p2.log
9,44769,2278,5735,650958,43691,0.975921,61293278,219049334,29107,0,4723,159666,19848,0.681898,27201570,87133292,54,321,465,42851,246,1048,1544,17010,2,4,/Users/mehedihasan/rp_ws/phase15/logs/r009_a1_2_a2_4_t4_d0p8.log
10,50686,28779,7463,1386750,49784,0.982204,127881617,280588334,7163,0,6823,534875,2,0.000279,9549375,18271584,16,83,147,49538,1,0,0,1,2,4,/Users/mehedihasan/rp_ws/phase15/logs/r010_a1_2_a2_4_t6_d0p9.log
11,47533,30381,7460,150042,46518,0.978646,119695000,270838709,7137,249,7382,139250,3,0.00042,3875166,4165167,20,92,134,46272,0,3,0,0,2,4,/Users/mehedihasan/rp_ws/phase15/logs/r011_a1_2_a2_4_t8_d1p1.log
12,44837,31424,7243,834416,43336,0.966523,112635731,236506459,12078,2306,6900,1024375,806,0.066733,62732789,155668959,40,142,238,42916,16,27,18,745,2,4,/Users/mehedihasan/rp_ws/phase15/logs/r012_a1_2_a2_4_t10_d1p2.log
13,61821,10994,7169,127959,61096,0.988273,96872140,241496125,7784,0,6551,206750,2,0.000257,17898959,19851126,14,38,79,60965,0,0,0,2,2,4,/Users/mehedihasan/rp_ws/phase15/logs/r013_a1_2_a2_5_t4_d0p8.log
14,53476,20067,7836,2423959,52644,0.984442,114274315,290546334,6647,0,7759,774958,3,0.000451,16919639,22189500,20,74,101,52449,0,0,0,3,2,4,/Users/mehedihasan/rp_ws/phase15/logs/r014_a1_2_a2_5_t6_d0p9.log
15,42686,32276,7439,996709,41514,0.972544,141356247,322982250,11103,1555,6698,242584,113,0.010177,5257861,33520084,17,65,107,41325,33,58,0,22,2,5,/Users/mehedihasan/rp_ws/phase15/logs/r015_a1_2_a2_5_t8_d1p1.log
16,47394,29369,7439,488375,45933,0.969173,105994947,313800334,10364,1364,6965,215709,294,0.028367,35354781,65723709,49,229,487,45168,2,5,13,274,2,5,/Users/mehedihasan/rp_ws/phase15/logs/r016_a1_2_a2_5_t10_d1p2.log
17,27027,0,5162,203583,19272,0.713065,30825380,91970000,46769,1548,5752,318833,43985,0.940473,42019742,161779209,228,1146,1358,16540,340,954,1493,41198,3,2,/Users/mehedihasan/rp_ws/phase15/logs/r017_a1_3_a2_2_t4_d0p8.log
18,30265,10575,5400,1356542,19446,0.642524,51762893,210645000,29350,19156,5511,464125,27494,0.936763,136645816,345735667,276,1062,1283,16825,73,272,447,26702,3,2,/Users/mehedihasan/rp_ws/phase15/logs/r018_a1_3_a2_2_t6_d0p9.log
19,25123,16753,6270,2813833,17466,0.69522,86179758,254455083,28177,25510,6346,1638583,25842,0.917131,113748662,323142459,122,623,761,15960,43,166,242,25391,3,2,/Users/mehedihasan/rp_ws/phase15/logs/r019_a1_3_a2_2_t8_d1p1.log
20,25502,17969,6298,398083,18809,0.73755,88024916,248083125,24398,23500,6393,451542,22906,0.938847,103721932,347630501,135,617,719,17338,59,181,220,22446,3,2,/Users/mehedihasan/rp_ws/phase15/logs/r020_a1_3_a2_2_t10_d1p2.log
21,37545,0,5071,603958,35997,0.958769,35745639,108480250,36595,0,4814,1093250,34241,0.935674,30247412,107016875,139,654,1331,33873,177,964,1895,31205,3,3,/Users/mehedihasan/rp_ws/phase15/logs/r021_a1_3_a2_3_t4_d0p8.log
22,62739,10409,6791,246542,61615,0.982085,83956089,272212583,7920,0,6509,141875,2,0.000253,10608334,19933167,29,112,195,61279,0,1,0,1,3,3,/Users/mehedihasan/rp_ws/phase15/logs/r022_a1_3_a2_3_t6_d0p9.log
23,30674,19165,5815,1376333,26324,0.858186,85317151,270119792,26656,14757,5437,343625,21288,0.798619,70849304,232242208,166,813,888,24457,211,684,934,19459,3,3,/Users/mehedihasan/rp_ws/phase15/logs/r023_a1_3_a2_3_t8_d1p1.log
24,30905,26275,6134,112709,28701,0.928685,102884020,246310667,21620,18686,5894,110375,15877,0.734366,80576982,190208708,87,338,535,27741,67,283,476,15051,3,3,/Users/mehedihasan/rp_ws/phase15/logs/r024_a1_3_a2_3_t10_d1p2.log
25,41497,0,5068,1124666,40290,0.970914,33441767,101165375,33493,0,4834,204084,30274,0.90389,30560317,102902792,163,754,1645,37728,275,1120,1633,27246,3,4,/Users/mehedihasan/rp_ws/phase15/logs/r025_a1_3_a2_4_t4_d0p8.log
26,60257,12127,7069,187709,59156,0.981728,91392945,282589583,9097,0,6863,320000,2,0.00022,9778312,15031875,32,119,83,58922,0,1,0,1,3,3,/Users/mehedihasan/rp_ws/phase15/logs/r026_a1_3_a2_4_t6_d0p9.log
27,43618,24587,6449,148750,39314,0.901325,113654392,316538750,16608,5920,5757,102584,3848,0.231696,42281418,160745375,143,313,438,38420,102,349,401,2996,3,4,/Users/mehedihasan/rp_ws/phase15/logs/r027_a1_3_a2_4_t8_d1p1.log
28,33814,23706,6308,429292,30598,0.904891,101941082,276884000,21651,13345,5661,1241500,12599,0.581913,65645572,176873000,91,304,230,29973,263,734,514,11088,3,4,/Users/mehedihasan/rp_ws/phase15/logs/r028_a1_3_a2_4_t10_d1p2.log
29,41031,0,5179,10308250,39738,0.968487,34258563,147713833,34773,0,4598,106375,30763,0.884681,29630009,138513208,120,831,1113,37674,247,1538,1528,27450,3,4,/Users/mehedihasan/rp_ws/phase15/logs/r029_a1_3_a2_5_t4_d0p8.log
30,60920,13446,6693,209583,59770,0.981123,91262318,240251459,9157,0,6249,93667,2,0.000218,11787000,19991250,15,72,103,59580,0,1,0,1,3,3,/Users/mehedihasan/rp_ws/phase15/logs/r030_a1_3_a2_5_t6_d0p9.log
31,53630,16120,7344,1875208,51004,0.951035,94401779,293632334,11056,0,7598,1663167,2,0.000181,23239875,43979041,121,312,583,49988,0,1,0,1,3,5,/Users/mehedihasan/rp_ws/phase15/logs/r031_a1_3_a2_5_t8_d1p1.log
32,39234,23830,6801,1336834,36966,0.942193,108872742,292261125,18965,7234,5979,798708,4665,0.245979,43251613,191090583,36,178,274,36478,77,317,363,3908,3,5,/Users/mehedihasan/rp_ws/phase15/logs/r032_a1_3_a2_5_t10_d1p2.log
33,35163,0,4838,162416,29141,0.82874,29971597,91775084,37080,0,4824,159791,36042,0.972006,38496161,101204501,294,1434,2139,25274,117,801,1115,34009,4,2,/Users/mehedihasan/rp_ws/phase15/logs/r033_a1_4_a2_2_t4_d0p8.log
34,32010,186,5934,348125,21988,0.68691,48300217,111870000,40489,9169,6885,98125,34600,0.854553,64982687,194002625,66,255,366,21301,142,641,1100,32717,4,2,/Users/mehedihasan/rp_ws/phase15/logs/r034_a1_4_a2_2_t6_d0p9.log
35,24013,10167,5718,155334,10729,0.4468,61561483,197887750,33546,26494,6227,168667,30485,0.908752,104621750,287600375,215,750,659,9105,86,384,581,29434,4,2,/Users/mehedihasan/rp_ws/phase15/logs/r035_a1_4_a2_2_t8_d1p1.log
36,22287,9379,6162,122500,9098,0.40822,77858882,237359083,38418,24447,6690,121416,24156,0.628768,93325273,235414417,98,375,430,8195,184,508,360,23104,4,2,/Users/mehedihasan/rp_ws/phase15/logs/r036_a1_4_a2_2_t10_d1p2.log
37,38737,0,4828,130167,35683,0.921161,29483856,79973251,37199,0,4691,218083,35551,0.955698,28861403,78211292,240,1226,1796,32421,221,1213,1757,32360,4,3,/Users/mehedihasan/rp_ws/phase15/logs/r037_a1_4_a2_3_t4_d0p8.log
38,20970,39,5925,316625,11364,0.541917,46595600,94377750,53949,7745,6452,164542,42450,0.786854,40343654,197679084,158,486,308,10412,439,1902,3107,37002,4,3,/Users/mehedihasan/rp_ws/phase15/logs/r038_a1_4_a2_3_t6_d0p9.log
39,33483,12907,5363,124125,22901,0.683959,77204702,230192334,29451,14169,5237,90833,22708,0.771043,63644641,203382667,199,692,1196,20814,240,859,1140,20469,4,3,/Users/mehedihasan/rp_ws/phase15/logs/r039_a1_4_a2_3_t8_d1p1.log
40,25569,14938,5786,1046875,16464,0.643905,88808757,268812792,29029,26599,5991,916291,26115,0.899618,86489185,251546750,119,443,486,15416,64,310,425,25316,4,3,/Users/mehedihasan/rp_ws/phase15/logs/r040_a1_4_a2_3_t10_d1p2.log
41,38942,0,4761,153875,37974,0.975143,30760093,91725792,35863,0,4597,135000,33843,0.943675,28250112,89451000,165,928,1945,34936,277,1668,2384,29514,4,4,/Users/mehedihasan/rp_ws/phase15/logs/r041_a1_4_a2_4_t4_d0p8.log
42,42017,12,5063,318334,36258,0.862936,29714038,79701584,33608,0,4858,516916,24174,0.719293,26214711,98759208,352,1469,2930,31507,476,1738,2944,19016,4,4,/Users/mehedihasan/rp_ws/phase15/logs/r042_a1_4_a2_4_t6_d0p9.log
43,63407,9102,6609,577584,60416,0.952829,59131159,255900417,10857,0,6581,210625,1,9.2e-05,9293626,9293626,129,673,1215,58399,0,0,1,0,4,4,/Users/mehedihasan/rp_ws/phase15/logs/r043_a1_4_a2_4_t8_d1p1.log
44,34364,17606,5534,400167,25681,0.747323,77228954,245116876,29275,14223,5307,71958,14358,0.490453,52703216,170891000,181,659,979,23862,381,807,821,12349,4,4,/Users/mehedihasan/rp_ws/phase15/logs/r044_a1_4_a2_4_t10_d1p2.log
45,39384,0,4805,156625,38108,0.967601,28946343,94741584,36142,0,4688,108375,33917,0.938437,28883724,95087792,144,874,1664,35426,256,1193,1908,30560,4,4,/Users/mehedihasan/rp_ws/phase15/logs/r045_a1_4_a2_5_t4_d0p8.log
46,44466,37,5292,1195250,41516,0.933657,31949884,89869375,33177,0,4808,85958,24893,0.750309,21371267,72112791,244,1091,2640,37541,397,1785,3186,19525,4,5,/Users/mehedihasan/rp_ws/phase15/logs/r046_a1_4_a2_5_t6_d0p9.log
47,59599,15473,6634,277084,57651,0.967315,72264396,244478500,9736,0,6276,73042,1,0.000103,4745041,4745041,52,321,718,56560,0,1,0,0,4,4,/Users/mehedihasan/rp_ws/phase15/logs/r047_a1_4_a2_5_t8_d1p1.log
48,38215,12700,5819,1796917,29122,0.762057,66252122,238348208,27666,10357,5311,1523750,11467,0.41448,28512431,98721875,280,1355,1484,26003,215,1150,1319,8783,4,5,/Users/mehedihasan/rp_ws/phase15/logs/r048_a1_4_a2_5_t10_d1p2.log
49,33104,0,5006,169416,25559,0.772082,31000239,86564875,39809,22,5181,116084,38637,0.970559,43246477,120782083,361,1254,1563,22381,105,428,1161,36943,4,2,/Users/mehedihasan/rp_ws/phase15/logs/r049_a1_5_a2_2_t4_d0p8.log
50,16508,0,6045,335125,4457,0.26999,27920182,63578333,45262,21067,6957,131208,43411,0.959105,86373001,235408959,111,241,275,3830,116,492,840,41963,5,2,/Users/mehedihasan/rp_ws/phase15/logs/r050_a1_5_a2_2_t6_d0p9.log
51,25627,7457,5595,233416,5914,0.230772,51013057,183861584,32111,25422,6367,127333,30076,0.936626,129848538,367159417,184,675,698,4357,53,167,196,29660,5,2,/Users/mehedihasan/rp_ws/phase15/logs/r051_a1_5_a2_2_t8_d1p1.log
52,17740,4384,6493,113167,3353,0.189008,84761122,215568500,38042,30431,7040,125917,34292,0.901425,92707767,322716042,54,121,117,3061,190,571,685,32846,5,2,/Users/mehedihasan/rp_ws/phase15/logs/r052_a1_5_a2_2_t10_d1p2.log
53,39523,0,4898,206000,35522,0.898768,28458915,124425959,37208,0,4771,246834,33982,0.913298,28746484,124220834,300,1800,2205,31217,287,1354,2395,29946,4,3,/Users/mehedihasan/rp_ws/phase15/logs/r053_a1_5_a2_3_t4_d0p8.log
54,33415,0,4905,87041,23225,0.695047,23490435,69196834,40019,1575,5250,102292,35962,0.898623,36678297,150969375,469,1615,2281,18860,229,1125,1896,32712,5,3,/Users/mehedihasan/rp_ws/phase15/logs/r054_a1_5_a2_3_t6_d0p9.log
55,17183,31,6483,121375,5814,0.338358,25864703,68766042,50609,14335,6968,178750,31029,0.613112,53392900,222583625,112,499,638,4565,497,1762,1997,26773,5,3,/Users/mehedihasan/rp_ws/phase15/logs/r055_a1_5_a2_3_t8_d1p1.log
56,26035,10355,5780,161750,12360,0.474746,66456925,264701042,30517,25630,6043,137250,26729,0.875872,101128140,324393417,137,588,636,10999,147,710,722,25150,5,3,/Users/mehedihasan/rp_ws/phase15/logs/r056_a1_5_a2_3_t10_d1p2.log
57,38650,0,4848,210416,37354,0.966468,30790164,119629042,36543,0,4627,124167,34134,0.934078,28704050,119971500,175,829,1875,34475,383,1538,2457,29756,4,4,/Users/mehedihasan/rp_ws/phase15/logs/r057_a1_5_a2_4_t4_d0p8.log
58,38448,0,5186,463958,31997,0.832215,23517987,86112584,37178,0,5009,430458,29912,0.804562,23322772,87061458,605,2268,4102,25022,536,2548,3296,23532,5,4,/Users/mehedihasan/rp_ws/phase15/logs/r058_a1_5_a2_4_t6_d0p9.log
59,38200,22,5521,227833,19624,0.513717,32075140,212697542,39921,1136,5532,105334,20047,0.502167,26166239,202356833,319,1534,1694,16077,579,1997,2283,15188,5,4,/Users/mehedihasan/rp_ws/phase15/logs/r059_a1_5_a2_4_t8_d1p1.log
60,31775,8682,5523,162208,15757,0.495893,48538418,205263875,33326,13974,5684,5101750,21491,0.644872,64331434,209487875,299,976,1242,13240,175,758,1162,19396,5,4,/Users/mehedihasan/rp_ws/phase15/logs/r060_a1_5_a2_4_t10_d1p2.log
61,36658,0,5169,2569500,36036,0.983032,34368557,88165042,34047,0,4853,123709,32953,0.967868,32256864,88275416,74,411,981,34570,279,1401,1455,29818,4,4,/Users/mehedihasan/rp_ws/phase15/logs/r061_a1_5_a2_5_t4_d0p8.log
62,37060,0,5330,374042,32910,0.888019,27976668,140891417,34682,0,5049,1242459,27914,0.804856,26796492,140692250,239,1226,2786,28659,303,1564,2931,23116,5,5,/Users/mehedihasan/rp_ws/phase15/logs/r062_a1_5_a2_5_t6_d0p9.log
63,48376,79,5504,385667,33443,0.691314,27336919,109090167,30607,0,5151,410167,11726,0.383115,15671363,55657333,743,2561,3750,26389,501,2276,1929,7020,5,5,/Users/mehedihasan/rp_ws/phase15/logs/r063_a1_5_a2_5_t8_d1p1.log
64,50789,9933,6232,217500,43567,0.857804,64743542,209192750,22156,1059,5826,119792,3285,0.148267,20969530,91089751,225,1138,1225,40979,46,163,330,2746,5,5,/Users/mehedihasan/rp_ws/phase15/logs/r064_a1_5_a2_5_t10_d1p2.log
